what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382429672
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382432451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382447730
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382450642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382453091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382463270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382474017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382482784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382490704
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382493369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382512130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382561004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415382565654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382566506
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382568873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382593770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382662380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382674330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382676553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382679722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415382687874
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415382689817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1415382694036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415382695343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382696247
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382698640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382721361
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382724328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382739849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382772483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382826993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382836668
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382839655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382857311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382874846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415382877016
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415382879183
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415382894264
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1415382896839
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415382904809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382933215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415382988323
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1415382989161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1415383030641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415383032610
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415383032984
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1415383049339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415383051877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415383058028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415383059262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415383063344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415383066158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415383067275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415383069967
