what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1408517598171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408517601441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408517603090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408517794692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408517798680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408519278901
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1408519281883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408519631637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408520882739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408520890210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408520897772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408520906885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408520938781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408520940517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408520952362
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1408520968813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408520983258
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1408520992942
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1408520995214
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1408521070109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521114525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521258974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408521277706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521281448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521293854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408521296564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521299088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408521305523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408521307493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408521313367
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1408521318961
