what,kind,bundleId,bundleVersion,description,time
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405401950183
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405401963579
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405401968496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405401972861
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405401976224
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405401985791
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405402000178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402030409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402041503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405402043486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402046827
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402049799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402058764
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402061064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402070193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402451375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405402462988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402465670
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402469651
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405402477051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402490234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402575933
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405402577272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405402590458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402591494
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402595279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405402604564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402614381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402651806
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405402653279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405402701809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402702802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405402705306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405402707618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402708660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402719464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405402722349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402723605
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402725677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402737094
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402739611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402750731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402753357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402758855
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402761242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402778770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405402804532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1405402811435
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402814833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402828633
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402831013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405402861659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402871379
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402875889
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1405402914036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402946921
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402952202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405402988683
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405402991761
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405402999330
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405403001493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403004480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403028740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403108069
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403110847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403136202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403258810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403272553
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1405403273749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403278048
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403282001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405403299926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405403302751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403303716
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403306336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403314294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403393076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403403642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1405403407119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403407966
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403410103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405403418832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405403425993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405403428525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403429405
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403436749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403466087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403471788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403479202
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403482087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403497378
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403500565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403534629
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403537031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403548834
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405403550288
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1405403661380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403676837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405403714044
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403723022
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403723377
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403723648
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403723862
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403724071
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403724278
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403724472
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403724658
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403725018
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403725401
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1405403725842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405403732317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405403732446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405403733022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403734008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403738729
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1405403741724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403755523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405403778253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405403783089
