what,kind,bundleId,bundleVersion,description,time
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569116079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569133992
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569137359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569143178
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569145216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569149823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569153603
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569155943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569185909
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569189007
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569200095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569208833
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569211666
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402569220802
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1402569234834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569242400
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569245543
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402569249594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569274673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569287994
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1402569294256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402569295580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402569297680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402569299785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569300794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1402569312419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1402569314626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1402569316981
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569319878
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402569324452
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1402569341664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569344994
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569347849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569363806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569378209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569385484
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569388257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569395593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569416866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402569436155
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1402569440158
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402569444361
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1402569447829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569450518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402569464757
