what,kind,bundleId,bundleVersion,description,time
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110533156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110536511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110566809
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1424110570358
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1424110579832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110579856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110617278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110625479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110769531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110771213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110854377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110862524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110880097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424110889095
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110891569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110895074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110903577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424110904567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424110905513
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110910405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424110925667
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110928653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110932796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110937449
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1424110939851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424110940812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424110941598
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110944660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110946692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110951068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424110952847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424110953860
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110956229
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1424110987097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110993556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424110997223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424111000529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424111076585
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1424111084572
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1424111085527
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1424111085792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424111104153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424111106704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424111244890
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1424111247402
