what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390266998
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415390275454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390276907
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415390279337
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1415390285800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390293917
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415390297017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390305985
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415390308507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415390319447
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1415390323609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390342410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390400374
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1415390402201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415390404634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390405659
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415390408369
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415390433835
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1415390442443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390451369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390469759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415390474921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390475684
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1415390477365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390478997
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1415390482021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390487241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390495510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415390497646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415390498485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415390500065
